"id","pregunta","respuesta"
"1","¿Quién fue Muhammad II?","Muhammad II fue el hijo y sucesor de Muhammad I, que reinó entre 1273 y 1302. A su muerte dio un nuevo vigor cultural, administrativo y arquitectónico al sultanato nazarí."
"2","¿Cuándo reinó Muhammad II?","Muhammad II reinó entre 1273 y 1302. Fue el hijo de Ibn al-Ahmar y el sultán que impulsó la primera gran expansión arquitectónica de la Alhambra tras su fundador."
"3","¿Qué aportó Muhammad II a la Alhambra?","Muhammad II dio un nuevo vigor cultural, administrativo y arquitectónico al sultanato nazarí, construyendo el Partal Alto, estableciendo la Rawda y atribuyéndosele la primera construcción del Generalife."
"4","¿Qué relación tenía Muhammad II con el fundador de la Alhambra?","Muhammad II era el hijo y sucesor directo de Muhammad I, el fundador de la Alhambra. Heredó el sultanato en 1273 y continuó el desarrollo del conjunto monumental."
"5","¿Qué título recibía Muhammad II por sus aficiones?","Muhammad II era conocido como el alfaquí por su gran interés por el saber. Compuso poemas, formó una tertulia literaria e hizo traer a su corte a importantes sabios de las ciencias de los Antiguos."
"6","¿Qué es el Cuarto Real de Santo Domingo?","El Cuarto Real de Santo Domingo es una torre con salón protocolario o qubba encajada en la muralla del barrio de los Alfareros, hoy Realejo, atribuida a Muhammad II."
"7","¿Quién construyó el Cuarto Real de Santo Domingo?","El Cuarto Real de Santo Domingo es atribuido a Muhammad II. Es una torre con qubba encajada en la muralla del barrio de los Alfareros, hoy conocido como el Realejo."
"8","¿Dónde está el Cuarto Real de Santo Domingo?","El Cuarto Real de Santo Domingo está encajado en la muralla del barrio de los Alfareros, actualmente el Realejo de Granada. Es una torre con salón protocolario o qubba."
"9","¿Qué es una qubba en la arquitectura nazarí?","Una qubba es un salón de planta cuadrada cubierto por una cúpula, utilizado con función protocolaria o ceremonial. El Cuarto Real de Santo Domingo es un ejemplo temprano de este tipo de sala en la arquitectura nazarí."
"10","¿Qué relación tiene el Cuarto Real de Santo Domingo con el cerco de la Sabika?","Se cree que el Cuarto Real de Santo Domingo completó el cerco amurallado de la colina de la Sabika, siendo parte del sistema defensivo que Muhammad II habría terminado de cerrar."
