"id","pregunta","respuesta"
"1","¿Qué diferencia hay entre las aportaciones de Muhammad II y Muhammad III a la Alhambra?","Muhammad II (1273-1302) aportó el Partal Alto, la Rawda, el Diwan al-Insa y la atribución del primer Generalife, dando vigor cultural y administrativo. Muhammad III (1302-1309) construyó el Partal, la Mezquita Mayor y la Calle Real, consolidando el recinto como ciudad."
"2","¿Por qué se considera a Muhammad III el sultán que convirtió la Alhambra en ciudad?","Porque construyó la Mezquita Mayor en 1303, estableció la Calle Real Alta y organizó el barrio artesanal del Secano. La mezquita marcó que la Sabika dejaba de ser un reducto castrense para convertirse en una verdadera ciudad."
"3","¿Qué relación hay entre el Diwan al-Insa de Muhammad II y los poemas de los muros de la Alhambra?","El Diwan al-Insa, oficina de redacción creada por Muhammad II, tenía funcionarios-poetas que componían casidas regias. De esa tradición surgieron las composiciones que más tarde se grabaron en los muros de los palacios."
"4","¿Qué tienen en común el Partal Alto y el Palacio del Partal pese a haberlos construido sultanes distintos?","Ambos organizan el espacio con un eje de salón, pórtico y alberca. El Partal Alto de Muhammad II tenía una alberca de 6,18 por 27,45 metros y el Partal de Muhammad III una de 25 por 13,60 metros con pórtico de cinco arcos."
"5","¿Cómo se relaciona la creación del Diwan al-Insa con la afición de Muhammad II por el saber?","Muhammad II, conocido como el alfaquí, tenía una tertulia literaria y trajo sabios a su corte. El Diwan al-Insa institucionalizó ese ambiente culto como oficina de redacción dirigida por funcionarios-poetas."
"6","¿Qué conexión hay entre la Rawda y el Palacio de los Leones?","La Rawda, cementerio regio establecido por Muhammad II, estaba junto al Partal Alto. El Palacio de los Leones se construyó más tarde, ya en el siglo XIV bajo Muhammad V, en zonas próximas a ese cementerio."
"7","¿Qué edificios del siglo XIII fueron destruidos y en qué momento?","El Partal Alto de Muhammad II fue demolido hacia 1734-1735, y la Mezquita Mayor de Muhammad III fue consagrada como catedral y luego demolida en 1576. Gran parte de la Alhambra del siglo XIII no se conserva íntegra."
"8","¿Qué relación cronológica hay entre la Mezquita Mayor y la lámpara que se conserva de ella?","La Mezquita Mayor fue construida por Muhammad III en 1303, mientras que la lámpara conservada en el Museo Arqueológico Nacional lleva fecha de fundición de 1305, dos años posterior a la construcción."
"9","¿Qué tienen en común el Cuarto Real de Santo Domingo y el Palacio de Abencerrajes?","Ambos son construcciones del entorno del siglo XIII que emplean la qubba, un salón con cúpula, encajada o integrada en la muralla, combinando función defensiva y palatina."
"10","¿Qué papel jugó la Bab al-Faray como nexo dentro del recinto en el siglo XIII?","La Bab al-Faray o Puerta de la Alegría conectaba el Partal Alto de Muhammad II con el Generalife extramuros. Más tarde ese punto se transformó en la Torre de los Picos y la Puerta de las Armas."
"11","¿Cómo continuó Muhammad II la obra defensiva iniciada por su padre?","Muhammad I inició el cerco amurallado de la Sabika y se atribuye a Muhammad II haberlo completado. El Cuarto Real de Santo Domingo, obra suya, se cree que cerró parte de ese cerco defensivo."
"12","¿Qué contraste de carácter hay entre Muhammad I y Muhammad II como gobernantes?","Muhammad I fue un fundador militar que levantó la fortaleza, las murallas y la Acequia Real. Muhammad II, llamado el alfaquí, se volcó en la cultura, la poesía y la administración con el Diwan al-Insa."
"13","¿Qué obra hidráulica de Muhammad I hizo posible la gran alberca del Partal de Muhammad III?","La Acequia Real, que Muhammad I trajo desde el río Darro atravesando el Cerro del Sol, abasteció el agua que alimentaba la alberca de 25 por 13,60 metros del Partal construido por Muhammad III."
