"id","pregunta","respuesta"
"1","¿Quién fundó el reino nazarí de Granada?","El reino nazarí de Granada fue fundado por Muhammad b. Yusuf b. Nasr Ibn al-Ahmar, que se proclamó sultán en Arjona en 1232 y entró en Granada en mayo de 1238."
"2","¿Cómo se llamaba el fundador de la dinastía nazarí?","El fundador de la dinastía nazarí se llamaba Muhammad b. Yusuf b. Nasr, conocido como Ibn al-Ahmar. Se proclamó sultán en Arjona en 1232."
"3","¿En qué año entró Ibn al-Ahmar en Granada?","Ibn al-Ahmar entró en Granada en mayo de 1238, tras proclamarse sultán en Arjona en 1232 y declararse vasallo de Fernando III de Castilla."
"4","¿De dónde era originario Muhammad I, el fundador nazarí?","Muhammad I pertenecía a una noble familia de origen árabe establecida en Arjona, ciudad jiennense donde se proclamó sultán en 1232."
"5","¿Cómo llegó Ibn al-Ahmar al poder en Granada?","Ibn al-Ahmar se proclamó sultán en Arjona en 1232, se declaró vasallo de Fernando III de Castilla y entró pacíficamente en Granada en mayo de 1238."
"6","¿Dónde se instaló Muhammad I al llegar a Granada?","Muhammad I se instaló primero en el palacio zirí del siglo XI de la Alcazaba Qadima, situada en la parte superior del actual barrio del Albaicín."
"7","¿Qué es la Alcazaba Qadima?","La Alcazaba Qadima, que significa Alcazaba Antigua, era el palacio zirí del siglo XI situado en la parte superior del actual barrio del Albaicín, donde se instaló Muhammad I al llegar a Granada."
"8","¿En qué parte de Granada vivió primero Muhammad I?","Muhammad I vivió primero en la Alcazaba Qadima, el antiguo palacio zirí del siglo XI ubicado en lo que hoy es la parte superior del barrio del Albaicín."
"9","¿Por qué se instaló Muhammad I en la Alcazaba Qadima?","Muhammad I se instaló en la Alcazaba Qadima porque era el palacio real existente en Granada cuando llegó en 1238, antes de ordenar la construcción de la nueva fortaleza en la Sabika."
"10","¿Dónde estaba el primer palacio que usó Muhammad I en Granada?","El primer palacio que usó Muhammad I era el palacio zirí del siglo XI de la Alcazaba Qadima, en la parte alta del actual Albaicín, al otro lado del río Darro respecto a la Alhambra."
"11","¿Dónde construyó Muhammad I la nueva Alhambra?","Muhammad I ordenó construir la nueva fortaleza sobre la colina de la Sabika, en el sitio llamado al-Hamra', la parte más occidental de dicha colina."
"12","¿En qué colina se construyó la Alhambra?","La Alhambra se construyó sobre la colina de la Sabika, nombre árabe que significa 'lingote'. Muhammad I eligió su parte más occidental para levantar la nueva fortaleza."
"13","¿Por qué eligió Muhammad I la colina de la Sabika?","Muhammad I eligió la colina de la Sabika porque su posición elevada dominaba toda la ciudad de Granada y el río Darro, ofreciendo ventajas estratégicas y defensivas excepcionales."
"14","¿Qué significa Sabika?","Sabika es una palabra árabe que significa 'lingote'. Es el nombre de la colina sobre la que se construyó la Alhambra, a unos 790 metros de altitud sobre el nivel del mar."
"15","¿En qué parte de la colina de la Sabika se levantó la fortaleza roja?","La fortaleza roja se levantó en la parte más occidental de la colina de la Sabika, el lugar más avanzado sobre la Vega de Granada y con mejores condiciones defensivas."
"16","¿Qué significa al-Hamra'?","Al-Hamra' significa 'La Roja' en árabe, nombre que ya tenía el lugar antes de la llegada de Muhammad I por el color rojizo de la arcilla del cerro."
"17","¿Por qué se llama la Alhambra 'la roja'?","La Alhambra se llama 'la roja' porque al-Hamra' significa 'La Roja' en árabe, en referencia al color rojizo de la arcilla del cerro de la Sabika donde fue construida."
"18","¿De dónde viene el nombre Alhambra?","El nombre Alhambra viene de al-Qal'a al-Hamra', que en árabe significa 'el castillo rojo', por el color rojizo de la arcilla del cerro sobre el que se asienta."
"19","¿Qué relación tiene el color rojo con el nombre de la Alhambra?","El color rojo da nombre a la Alhambra porque al-Hamra' significa 'La Roja' en árabe. La arcilla rojiza del cerro de la Sabika dio ese nombre al lugar mucho antes de que llegara Muhammad I."
"20","¿Tenía ya nombre el lugar antes de que Muhammad I construyera la Alhambra?","Sí, el lugar ya se llamaba al-Hamra', que significa 'La Roja', antes de la llegada de Muhammad I, en referencia al color rojizo de la arcilla del cerro de la Sabika."
"21","¿Qué antecedentes tenía el lugar antes de Muhammad I?","Las crónicas árabes mencionan una Qala't o Hisn llamada al-Hamra' donde se refugiaron los árabes durante las luchas con los muladíes de la Cora de Elvira en tiempos del emir Abd Allah (888-912)."
"22","¿Había alguna construcción en la Sabika antes de la Alhambra nazarí?","Sí. Las crónicas árabes mencionan una fortaleza llamada al-Hamra' en la Sabika donde se refugiaron los árabes durante las luchas con los muladíes en tiempos del emir cordobés Abd Allah (888-912)."
"23","¿En qué siglo aparece la primera mención de la fortaleza en la Sabika?","La primera mención de una fortaleza en la Sabika aparece en el siglo IX, cuando los árabes se refugiaron en una Qala't o Hisn llamada al-Hamra' durante las luchas con los muladíes bajo el emir Abd Allah (888-912)."
"24","¿Qué era la Cora de Elvira?","La Cora de Elvira era el distrito o provincia árabe que tenía como capital la ciudad de Elvira, en la actual Granada. En sus tierras se libraron las luchas entre árabes y muladíes durante el reinado del emir Abd Allah."
"25","¿Quiénes eran los muladíes que lucharon contra los árabes en la Sabika?","Los muladíes eran cristianos hispanos convertidos al islam. Durante el reinado del emir cordobés Abd Allah (888-912) protagonizaron feroces luchas contra los árabes en el distrito de Elvira, forzando a estos a refugiarse en la fortaleza de al-Hamra'."
"26","¿Qué construyó el visir Ibn al-Nagrila en la Alhambra?","Entre 1052 y 1056, el visir judío Yusuf Ibn al-Nagrila construyó una nueva fortificación en el lugar, que unió además a las murallas de Granada, probablemente para proteger el barrio judío de la ladera sur de la colina."
"27","¿Quién era Ibn al-Nagrila?","Ibn al-Nagrila era un visir judío al servicio del rey zirí Badis ibn Habbús. Entre 1052 y 1056 construyó una nueva fortificación en la colina de la Sabika, uniéndola a las murallas de Granada."
"28","¿Cuándo construyó Ibn al-Nagrila su fortaleza en la Sabika?","Ibn al-Nagrila construyó su fortaleza en la Sabika entre 1052 y 1056, durante el reinado del rey zirí Badis ibn Habbús, a quien servía como visir."
"29","¿Por qué construyó Ibn al-Nagrila una fortaleza en la Sabika?","Ibn al-Nagrila construyó la fortaleza probablemente para proteger el barrio judío situado en la ladera sur de la colina de la Sabika, conectándola además con las murallas de Granada."
"30","¿A qué rey servía Ibn al-Nagrila cuando construyó la fortaleza?","Ibn al-Nagrila servía como visir al rey zirí Badis ibn Habbús cuando construyó la fortaleza en la Sabika entre 1052 y 1056."
"31","¿Qué hizo el último rey zirí Abd Allah con la Alhambra?","Abd Allah, último rey zirí de Granada que gobernó hasta 1090, remozó la fortaleza antes de ser destronado por los almorávides."
"32","¿Quién fue Abd Allah en la historia de la Alhambra?","Abd Allah fue el último rey zirí de Granada. Antes de ser destronado por los almorávides hacia 1090, remozó la fortaleza de la Sabika que habían levantado sus predecesores."
"33","¿Cuándo gobernó el último rey zirí Abd Allah?","Abd Allah gobernó Granada hasta aproximadamente 1090, año en que fue destronado por los almorávides. Durante su reinado remozó la fortaleza de la Sabika."
"34","¿Qué le ocurrió al rey zirí Abd Allah?","Abd Allah, último rey zirí de Granada, fue destronado por los almorávides hacia 1090. Antes de caer, había remozado la fortaleza de la Sabika que luego se convertiría en la Alhambra."
"35","¿Quiénes destronaron al último rey zirí de Granada?","Los almorávides destronaron al último rey zirí Abd Allah hacia 1090. Antes de perder el poder, Abd Allah había remozado la fortaleza de al-Hamra' en la colina de la Sabika."
"36","¿Qué nombre recibía la Alhambra en época almohade?","En época almohade la fortaleza era también llamada al-Qasaba al-Hamra', es decir, la Alcazaba Roja."
"37","¿Cómo llamaban los almohades a la fortaleza de la Sabika?","Los almohades llamaban a la fortaleza de la Sabika al-Qasaba al-Hamra', que significa la Alcazaba Roja, nombre que usaron hasta la llegada de Muhammad I."
"38","¿Qué significa al-Qasaba al-Hamra'?","Al-Qasaba al-Hamra' significa 'la Alcazaba Roja' en árabe. Era el nombre con el que los almohades designaban la fortaleza de la Sabika antes de la fundación nazarí."
"39","¿Usaron los almohades la fortaleza de la Sabika?","Sí, los almohades usaron la fortaleza, a la que llamaban al-Qasaba al-Hamra' o Alcazaba Roja, hasta que con la llegada de Muhammad I se inició la refundación del lugar."
"40","¿Qué pasó con la fortaleza de la Sabika en época almohade?","En época almohade la fortaleza fue utilizada y recibía el nombre de al-Qasaba al-Hamra', la Alcazaba Roja. Los almohades la emplearon como punto defensivo hasta la llegada de los nazaríes."
"41","¿Qué obra hidráulica fundamental realizó Muhammad I?","Muhammad I mandó construir la Acequia Real desde el río Darro, atravesando el Cerro del Sol, para abastecer de agua la Alcazaba, los futuros palacios, jardines, baños y viviendas de toda la colina."
"42","¿Qué es la Acequia Real de la Alhambra?","La Acequia Real es el canal que Muhammad I construyó desde el río Darro, atravesando el Cerro del Sol, para llevar agua a toda la colina de la Sabika y hacer posible el desarrollo de la Alhambra."
"43","¿Por qué era tan importante la Acequia Real?","La Acequia Real fue determinante para el desarrollo de la Alhambra porque permitió abastecer de agua la Alcazaba, los palacios, los jardines, los baños y las viviendas de toda la colina de la Sabika."
"44","¿Desde dónde viene el agua de la Acequia Real?","El agua de la Acequia Real viene del río Darro. Muhammad I mandó construir el canal atravesando el Cerro del Sol para llevar ese caudal hasta la colina de la Sabika."
"45","¿Quién construyó la Acequia Real de la Alhambra?","La Acequia Real fue construida por Muhammad I, el fundador de la Alhambra, para traer agua desde el río Darro atravesando el Cerro del Sol y abastecer todo el conjunto monumental."
"46","¿Qué lema adoptó Muhammad I para su dinastía?","Muhammad I adoptó el lema 'Wa-la galiba illa Allah', que significa 'No hay vencedor excepto Dios', tomado de las banderas almohades triunfantes en la batalla de Alarcos de 1195."
"47","¿Qué significa el lema nazarí 'Wa-la galiba illa Allah'?","El lema nazarí 'Wa-la galiba illa Allah' significa 'No hay vencedor excepto Dios'. Muhammad I lo tomó de las banderas almohades de la batalla de Alarcos (1195) como signo de continuidad."
