id,pregunta,respuesta
1,"¿Quién fundó el reino nazarí de Granada?","El reino nazarí de Granada fue fundado por Muhammad b. Yusuf b. Nasr Ibn al-Ahmar, que se proclamó sultán en Arjona en 1232 y entró en Granada en mayo de 1238."
2,"¿Dónde se instaló Muhammad I al llegar a Granada?","Muhammad I se instaló primero en el palacio zirí del siglo XI de la Alcazaba Qadima, situada en la parte superior del actual barrio del Albaicín."
3,"¿Dónde construyó Muhammad I la nueva Alhambra?","Muhammad I ordenó construir la nueva fortaleza sobre la colina de la Sabika, en el sitio llamado al-Hamra', la parte más occidental de dicha colina."
4,"¿Qué significa al-Hamra'?","Al-Hamra' significa 'La Roja' en árabe, nombre que ya tenía el lugar antes de la llegada de Muhammad I por el color rojizo de la arcilla del cerro."
5,"¿Qué antecedentes tenía el lugar antes de Muhammad I?","Las crónicas árabes mencionan una Qala't o Hisn llamada al-Hamra' donde se refugiaron los árabes durante las luchas con los muladíes de la Cora de Elvira en tiempos del emir Abd Allah (888-912)."
6,"¿Qué construyó el visir Ibn al-Nagrila en la Alhambra?","Entre 1052 y 1056, el visir judío Yusuf Ibn al-Nagrila construyó una nueva fortificación en el lugar, que unió además a las murallas de Granada, probablemente para proteger el barrio judío de la ladera sur de la colina."
7,"¿Qué hizo el último rey zirí Abd Allah con la Alhambra?","Abd Allah, último rey zirí de Granada que gobernó hasta 1090, remozó la fortaleza antes de ser destronado por los almorávides."
8,"¿Qué nombre recibía la Alhambra en época almohade?","En época almohade la fortaleza era también llamada al-Qasaba al-Hamra', es decir, la Alcazaba Roja."
9,"¿Qué obra hidráulica fundamental realizó Muhammad I?","Muhammad I mandó construir la Acequia Real desde el río Darro, atravesando el Cerro del Sol, para abastecer de agua la Alcazaba, los futuros palacios, jardines, baños y viviendas de toda la colina."
10,"¿Qué lema adoptó Muhammad I para su dinastía?","Muhammad I adoptó el lema 'Wa-la galiba illa Allah', que significa 'No hay vencedor excepto Dios', tomado de las banderas almohades triunfantes en la batalla de Alarcos de 1195."
11,"¿Qué forma tenía la fortaleza roja de Muhammad I?","La fortaleza roja de Muhammad I formó una especie de trapecio irregular rodeado por una barbacana y doble muralla con dos torres principales: la Torre de la Vela y la Torre del Homenaje."
12,"¿Cuánto mide la Torre de la Vela?","La Torre de la Vela mide 16 metros de lado y 26,80 metros de altura, con muros de hormigón de 4,60 metros de grosor en la base."
13,"¿Cuántas plantas tiene la Torre del Homenaje?","La Torre del Homenaje tiene seis plantas. La inferior cuenta con una matmura o silo y las superiores están formadas por pilares centrales cruciformes con bóvedas de arista y baídas."
14,"¿Qué hay en el interior de la Alcazaba además de las torres?","En el interior de la Alcazaba se encuentra el Barrio Castrense, con una docena de casas distribuidas a ambos lados de una calle central, además de almacenes, silos subterráneos, un baño árabe y un aljibe."
15,"¿Qué coincidencia hay entre el apellido de Muhammad I y el nombre del lugar?","El apellido familiar de Muhammad I era al-Ahmar, que significa 'el Rojo', coincidiendo con el nombre al-Hamra' que ya tenía el lugar y también con el topónimo Granada, vinculado al color rojo de la fruta de la granada."
